,original_title,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,number_of_companies,budget_per_company,Company,revenue_per_company,Profit
20,Tomorrowland,130.0,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,5/19/15,2015,174799923,192312729,3,58266641,"['Walt Disney Pictures', 'Babieka', 'A113']",64104243,17512806
21,Southpaw,123.0,Action|Drama,Escape Artists|Riche-Ludwig Productions,6/15/15,2015,27599987,84373003,2,13799993,"['Escape Artists', 'Riche-Ludwig Productions']",42186501,56773016
22,San Andreas,114.0,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5/27/15,2015,101199955,432851374,4,25299988,"['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']",108212843,331651419
23,Fifty Shades of Grey,125.0,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2/11/15,2015,36799983,524079119,3,12266661,"['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']",174693039,487279136
24,The Big Short,130.0,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12/11/15,2015,25759988,122678731,3,8586662,"['Paramount Pictures', 'Plan B Entertainment', 'Regency Enterprises']",40892910,96918743
25,Mission: Impossible - Rogue Nation,131.0,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7/23/15,2015,137999939,627743451,5,27599987,"['Paramount Pictures', 'Skydance Productions', 'China Movie Channel', 'Bad Robot', 'TC Productions']",125548690,489743512
26,Ted 2,115.0,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6/25/15,2015,62559972,198594430,3,20853324,"['Universal Pictures', 'Media Rights Capital', 'Fuzzy Door Productions']",66198143,136034458
27,Kingsman: The Secret Service,130.0,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,2015,74519967,371497801,4,18629991,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",92874450,296977834
28,Spotlight,128.0,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,2015,18399991,81278719,5,3679998,"['Participant Media', 'Open Road Films', 'Anonymous Content', 'Rocklin / Faust', 'Entertainment One Features']",16255743,62878728
29,Maze Runner: The Scorch Trials,132.0,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9/9/15,2015,56119975,286356245,3,18706658,"['Gotham Group', 'Temple Hill Entertainment', 'TSG Entertainment']",95452081,230236270
31,Chappie,120.0,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3/4/15,2015,45079980,93903685,5,9015996,"['Columbia Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'Alpha Core', 'Genre Films']",18780737,48823705
32,Pitch Perfect 2,115.0,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,5/7/15,2015,26679988,264505582,3,8893329,"['Universal Pictures', 'Gold Circle Films', 'Brownstone Productions']",88168527,237825594
33,Bridge of Spies,141.0,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/15,2015,36799983,149601569,5,7359996,"['DreamWorks SKG', 'Amblin Entertainment', 'Studio Babelsberg', 'Fox 2000 Pictures', 'Marc Platt Productions']",29920313,112801586
34,Goosebumps,103.0,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,8/5/15,2015,53359976,138157089,3,17786658,"['Columbia Pictures', 'Original Film', 'Scholastic Entertainment']",46052363,84797113
35,Room,117.0,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,10/16/15,2015,5519997,32569603,4,1379999,"['Element Pictures', 'No Trace Camping', 'A24', 'Duperele Films']",8142400,27049606
37,The Good Dinosaur,93.0,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,2015,160999929,305371920,3,53666643,"['Walt Disney Pictures', 'Pixar Animation Studios', 'Buena Vista']",101790640,144371991
38,Run All Night,114.0,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,2015,45999979,65836683,3,15333326,"['Vertigo Entertainment', 'Energy Entertainment', 'RatPac-Dune Entertainment']",21945561,19836704
39,Brooklyn,111.0,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,11/4/15,2015,10119995,57110024,4,2529998,"['Wildgaze Films', 'Irish Film Board', 'Item 7', 'Parallel Film Productions']",14277506,46990029
40,Straight Outta Compton,147.0,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,8/13/15,2015,25759988,185504110,5,5151997,"['New Line Cinema', 'Universal Pictures', 'Legendary Pictures', 'Cube Vision', 'Broken Chair Flickz']",37100822,159744122
41,The Last Witch Hunter,106.0,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10/21/15,2015,82799963,129164861,5,16559992,"['Summit Entertainment', 'Atmosphere Entertainment MM', 'One Race Films', 'Goldmann Pictures', 'NeoReel']",25832972,46364898
42,Steve Jobs,122.0,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,10/9/15,2015,27599987,31686509,5,5519997,"['Universal Pictures', 'Scott Rudin Productions', 'Legendary Pictures', 'The Mark Gordon Company', 'Management 360']",6337301,4086522
43,The Man from U.N.C.L.E.,116.0,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,8/13/15,2015,68999969,99493456,4,17249992,"['Davis Entertainment', 'Warner Bros.', 'Wigram Productions', 'RatPac-Dune Entertainment']",24873364,30493487
44,The Age of Adaline,112.0,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,4/16/15,2015,22999989,39219376,3,7666663,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Sierra/Affinity']",13073125,16219387
45,Hardcore Henry,97.0,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,9/12/15,2015,9199995,13187080,2,4599997,"['Bazelevs Production', 'Versus Pictures']",6593540,3987085
46,Home,94.0,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,3/18/15,2015,124199945,339361177,2,62099972,"['Twentieth Century Fox Film Corporation', 'DreamWorks Animation']",169680588,215161232
47,Paper Towns,109.0,Drama|Mystery|Romance,Fox 2000 Pictures,7/9/15,2015,11039995,78671281,1,11039995,['Fox 2000 Pictures'],78671281,67631286
49,The Lobster,118.0,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,10/8/15,2015,3679998,8339346,5,735999,"['Haut et Court', 'Eurimages', 'Lemming Film', 'Element Pictures', 'Nederlands Fonds voor de Film']",1667869,4659348
50,Carol,118.0,Romance|Drama,Killer Films|Film4|Number 9 Films,11/20/15,2015,10855995,37050347,3,3618665,"['Killer Films', 'Film4', 'Number 9 Films']",12350115,26194352
51,The Intern,121.0,Comedy,Waverly Films|Warner Bros.,9/24/15,2015,32199985,178999419,2,16099992,"['Waverly Films', 'Warner Bros.']",89499709,146799434
52,Everest,121.0,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,9/10/15,2015,50599977,187153294,5,10119995,"['Universal Pictures', 'Working Title Films', 'Walden Media', 'Cross Creek Pictures', 'Free State Pictures']",37430658,136553317
53,Joy,124.0,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,12/24/15,2015,55199975,93043293,4,13799993,"['Fox 2000 Pictures', 'Davis Entertainment', 'Annapurna Pictures', 'TSG Entertainment']",23260823,37843318
54,Point Break,114.0,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,12/3/15,2015,96599957,123021159,4,24149989,"['Studio Babelsberg', 'Alcon Entertainment', 'DMG Entertainment', 'Ehman Productions']",30755289,26421202
55,Burnt,100.0,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,10/2/15,2015,18399991,33678188,3,6133330,"['Double Feature Films', 'PeaPie Films', '3 Arts Entertainment']",11226062,15278197
56,Self/less,116.0,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,7/10/15,2015,23919989,28081355,2,11959994,"['Endgame Entertainment', 'Ram Bergman Productions']",14040677,4161366
57,Mortdecai,106.0,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,1/21/15,2015,55199975,27985062,4,13799993,"['Lionsgate', 'Mad Chance', 'OddLot Entertainment', 'Huayi Brothers Media']",6996265,-27214913
58,The Danish Girl,120.0,Drama,Pretty Pictures|Working Title Films|Art̩mis Productions|Le Tax Shelter du Gouvernement F̩d̩ral de Belgique|Taxshelter. be,11/27/15,2015,13799993,59056175,5,2759998,"['Pretty Pictures', 'Working Title Films', 'Art̩mis Productions', 'Le Tax Shelter du Gouvernement F̩d̩ral de Belgique', 'Taxshelter. be']",11811235,45256182
59,Blackhat,133.0,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,1/13/15,2015,64399971,16332697,3,21466657,"['Universal Pictures', 'Forward Pass', 'Legendary Pictures']",5444232,-48067274
60,Sicario,121.0,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,9/17/15,2015,27599987,77303716,3,9199995,"['Lionsgate', 'Thunder Road Pictures', 'Black Label Media']",25767905,49703729
61,Fantastic Four,100.0,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),8/5/15,2015,110399952,154539320,5,22079990,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'Marvel Entertainment', 'Constantin Film.', 'Moving Picture Company (MPC)']",30907864,44139368
62,The Witch,92.0,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,3/24/15,2015,3219998,37190013,5,643999,"['Parts and Labor', 'RT Features', 'Rooks Nest Entertainment', 'Maiden Voyage Pictures', 'Pulse Films']",7438002,33970015
63,Spy,120.0,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,5/6/15,2015,59799973,216812826,3,19933324,"['Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Feigco Entertainment']",72270942,157012853
64,Focus,105.0,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2/25/15,2015,46091979,141645863,3,15363993,"['Kramer & Sigman Films', 'RatPac-Dune Entertainment', 'Zaftig Films']",47215287,95553884
65,Hitman: Agent 47,96.0,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,8/20/15,2015,32199985,75759810,4,8049996,"['Twentieth Century Fox Film Corporation', 'Fox International Productions', 'Infinite Frameworks Studios', 'TSG Entertainment']",18939952,43559825
66,In the Heart of the Sea,122.0,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,11/20/15,2015,91999959,86315059,5,18399991,"['Imagine Entertainment', 'Spring Creek Productions', 'Warner Bros.', 'Roth Films', 'K. JAM Media']",17263011,-5684900
68,Creed,133.0,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,11/25/15,2015,32199985,126900665,4,8049996,"['New Line Cinema', 'Warner Bros.', 'Metro-Goldwyn-Mayer (MGM)', 'Chartoff-Winkler Productions']",31725166,94700680
69,Trainwreck,125.0,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,7/17/15,2015,32199985,129532072,4,8049996,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Apatow Productions']",32383018,97332087
70,Eye in the Sky,102.0,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,9/11/15,2015,11959994,30220316,3,3986664,"['Entertainment One', 'Moonlighting Films', 'Raindog Films']",10073438,18260322
71,Legend,131.0,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),9/9/15,2015,22999989,39535137,3,7666663,"['Working Title Films', 'Cross Creek Pictures', 'Anton Capital Entertainment (ACE)']",13178379,16535148
73,Pan,111.0,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,9/24/15,2015,137999939,118117202,4,34499984,"['Warner Bros.', 'Moving Picture Company (MPC)', 'Berlanti Productions', 'RatPac-Dune Entertainment']",29529300,-19882737
76,The Peanuts Movie,88.0,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,11/5/15,2015,91079959,226534364,3,30359986,"['Blue Sky Studios', 'Twentieth Century Fox Animation', 'Feigco Entertainment']",75511454,135454405
77,Concussion,123.0,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,11/12/15,2015,32199985,44733666,5,6439997,"['Village Roadshow Pictures', 'Scott Free Productions', 'LStar Capital', 'The Cantillon Company', 'The Shuman Company']",8946733,12533681
78,The Night Before,100.0,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,11/20/15,2015,22999989,48204295,3,7666663,"['Sony Pictures', 'Point Grey Pictures', 'Good Universe']",16068098,25204306
79,Knock Knock,99.0,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,6/26/15,2015,2299998,4796917,5,459999,"['Universum Film (UFA)', 'Dragonfly Entertainment', 'Black Bear Pictures', 'Square One Entertainment', 'Sobras International Pictures']",959383,2496919
80,The Longest Ride,128.0,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,4/9/15,2015,31279986,57972193,2,15639993,"['Fox 2000 Pictures', 'Temple Hill Entertainment']",28986096,26692207
81,Hotel Transylvania 2,89.0,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,9/21/15,2015,73599967,428888671,2,36799983,"['Columbia Pictures', 'Sony Pictures Animation']",214444335,355288704
82,Love the Coopers,107.0,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,11/12/15,2015,15639993,22079990,3,5213331,"['Imagine Entertainment', 'Groundswell Productions', 'CBS Films']",7359996,6439997
83,The Walk,123.0,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,9/30/15,2015,32199985,56287361,3,10733328,"['TriStar Pictures', 'Sony Pictures Entertainment', 'ImageMovers']",18762453,24087376
84,Tracers,94.0,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,1/15/15,2015,10119995,1714249,5,2023999,"['Temple Hill Entertainment', 'Senator Film', 'Freerunning', 'Melbarken', 'Saban Films']",342849,-8405746
85,Vacation,99.0,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,7/28/15,2015,28519987,96033410,3,9506662,"['New Line Cinema', 'BenderSpink', 'David Dobkin Productions']",32011136,67513423
86,Poltergeist,93.0,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,5/20/15,2015,32199985,87802915,4,8049996,"['Ghost House Pictures', 'Vertigo Entertainment', 'Metro-Goldwyn-Mayer (MGM)', 'TSG Entertainment']",21950728,55602930
87,Maggie,95.0,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,5/8/15,2015,3679998,172142,5,735999,"['Lionsgate', 'Grindstone Entertainment Group', 'Silver Reel', 'Sly Predator', 'Matt Baer Films']",34428,-3507856
89,Child 44,137.0,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,3/15/15,2015,45999979,3058382,3,15333326,"['Summit Entertainment', 'Scott Free Productions', 'Worldview Entertainment']",1019460,-42941597
90,The Gift,108.0,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,7/30/15,2015,4599997,54260336,4,1149999,"['Blumhouse Productions', 'Blue-Tongue Films', 'STX Entertainment', 'Ahimsa Films']",13565084,49660339
91,Daddy's Home,96.0,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,12/25/15,2015,45999979,221131463,4,11499994,"['Paramount Pictures', 'Gary Sanchez Productions', 'Good Universe', 'Red Granite Pictures']",55282865,175131484
94,The Little Prince,92.0,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,7/29/15,2015,58879974,89765510,5,11775994,"['Onyx Films', 'Orange Studios', 'CityMation', 'On Entertainment', 'Zippcast Films']",17953102,30885536
96,The Dressmaker,118.0,Drama,Amazon Studios|Film Art Media|Apollo Media,10/1/15,2015,10975595,16872792,3,3658531,"['Amazon Studios', 'Film Art Media', 'Apollo Media']",5624264,5897197
97,The DUFF,100.0,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,2/20/15,2015,7819996,40046325,3,2606665,"['Wonderland Sound and Vision', 'CBS Films', 'Vast Entertainment']",13348775,32226329
98,Sinister 2,97.0,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,8/19/15,2015,9199995,48651435,5,1839999,"['Alliance Films', 'Blumhouse Productions', 'IM Global', 'Automatik Entertainment', 'Entertainment One']",9730287,39451440
99,Paul Blart: Mall Cop 2,94.0,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),4/16/15,2015,27599987,98989419,5,5519997,"['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Releasing', 'Sony Pictures Home Entertainment', 'Sony Pictures Entertainment (SPE)']",19797883,71389432
102,The Boy Next Door,91.0,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,1/23/15,2015,3679998,46150034,4,919999,"['Universal Pictures', 'Nuyorican Productions', 'Blumhouse Productions', 'Smart Entertainment']",11537508,42470036
104,Entourage,104.0,Comedy,Warner Bros.|Closest to the Hole Productions,6/3/15,2015,27599987,45322311,2,13799993,"['Warner Bros.', 'Closest to the Hole Productions']",22661155,17722324
105,The Wedding Ringer,101.0,Comedy,Miramax Films|Screen Gems|LStar Capital,1/16/15,2015,21159990,73415857,3,7053330,"['Miramax Films', 'Screen Gems', 'LStar Capital']",24471952,52255867
106,Scouts Guide to the Zombie Apocalypse,93.0,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,10/23/15,2015,13799993,13671898,4,3449998,"['Paramount Pictures', 'Oops Doughnuts Productions', 'Broken Road Productions', 'Brucks Entertainment']",3417974,-128095
107,The Visit,94.0,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,9/10/15,2015,4599997,90574017,2,2299998,"['Blumhouse Productions', 'Blinding Edge Pictures']",45287008,85974020
108,Black Mass,122.0,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,9/4/15,2015,48759978,91793583,5,9751995,"['Infinitum Nihil', 'Head Gear Films', 'Cross Creek Pictures', 'Free State Pictures', 'RatPac-Dune Entertainment']",18358716,43033605
109,Heist,93.0,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,11/13/15,2015,8187996,46125,4,2046999,"['Emmett/Furla Films', 'Silver Plane Films', 'Mass Hysteria Entertainment', 'Tri Vision Pictures']",11531,-8141871
110,Krampus,98.0,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,11/26/15,2015,13799993,56624785,2,6899996,"['Universal Pictures', 'Legendary Pictures']",28312392,42824792
111,Dark Places,113.0,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,3/31/15,2015,18399991,191900,5,3679998,"['Denver and Delilah Productions', 'Mandalay Vision', 'Exclusive Media Group', 'Hugo Productions', 'Cuatro Plus Films']",38380,-18208091
112,No Escape,103.0,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,8/26/15,2015,4599997,50065340,3,1533332,"['Bold Films', 'Living Films', 'Brothers Dowdle Productions']",16688446,45465343
113,Dope,103.0,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,6/19/15,2015,643999,16547831,3,214666,"[""Forest Whitaker's Significant Productions"", 'Revolt Films', 'IamOTHER Entertainment']",5515943,15903832
114,American Ultra,96.0,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,8/19/15,2015,25759988,25951426,5,5151997,"['Concorde Filmverleih', 'Likely Story', 'FilmNation Entertainment', 'Circle of Confusion', 'The Bridge Finance Company']",5190285,191438
115,Woman in Gold,120.0,Drama,BBC Films|Origin Pictures,4/10/15,2015,10119995,56690166,2,5059997,"['BBC Films', 'Origin Pictures']",28345083,46570171
117,Sisters,118.0,Comedy,Little Stranger,12/18/15,2015,27599987,96610126,1,27599987,['Little Stranger'],96610126,69010139
118,Project Almanac,106.0,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,1/30/15,2015,11039995,29668368,4,2759998,"['Paramount Pictures', 'MTV Films', 'Platinum Dunes', 'Insurge Pictures']",7417092,18628373
120,The Transporter Refueled,96.0,Thriller|Action|Crime,EuropaCorp,9/3/15,2015,22999989,66819266,1,22999989,['EuropaCorp'],66819266,43819277
121,Crimson Peak,119.0,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,10/13/15,2015,50599977,68705406,1,50599977,['Legendary Pictures'],68705406,18105429
